Risk_Category,Identified_Risk,Legal_Reference,Mitigation_Control,Compliance_Level
Web Scraping,Browse-wrap and Terms of Service enforcement,[6] Century 21 case; Copyright Act ss. 2-3,Respect explicit ToS prohibitions on automated downloading; obtain written permission for bulk data collection,MANDATORY
Internet Framing,Making copyrighted content available without reproduction,[7] Trader Corp case; Copyright Act s. 2.4(1.1),Do not embed or frame third-party copyrighted materials; link directly to source instead,MANDATORY
Personal Data,Republishing court decisions or public data containing personal information,[8] A.T. v. Globe24h.com; PIPEDA ss. 5-7,Redact personal information from court records; obtain consent for commercial republication,MANDATORY
Commercial Content,Bulk downloading and republishing copyrighted content for profit,[9] Thomson case; Copyright Act s. 38.1,License content from rights holders; do not aggregate proprietary content without permission,MANDATORY
Search Engine Indexing,Facilitating access to infringing content through search results,[10] Google v. Equustek; Injunction law,Implement de-indexing requests; comply with takedown notices promptly,MANDATORY
Crown Data,Unauthorized reproduction of government-registered data,[11] Keatley case; Copyright Act s. 12,Verify Crown copyright status; use OGL-C or Reproduction Order where applicable; seek permission if uncertain,HIGH
Consumer Contracts,Enforceability of forum selection and arbitration clauses,[12][13] Douez and Uber cases; Contract law,Avoid one-sided dispute resolution terms; ensure transparency and fairness in user agreements,MEDIUM
AI Training Data,Using copyrighted content to train machine learning models,[14][15] CanLII and Publishers cases; Copyright Act,License training data; do not scrape without permission; implement fair-use analysis for each use case,CRITICAL
Fair Dealing Defense,Misapplication of fair dealing for commercial purposes,[17] Copyright Act s. 29; Case law interpretation,Commercial dealing rarely qualifies; document non-commercial purpose; minimize copying,HIGH
Statutory Damages,"High exposure to statutory damages ($500-$20,000 per work or infringement)",[1] Copyright Act s. 38.1; Thomson case,Maintain audit trail of permissions; obtain licenses; cease infringement immediately upon notice,CRITICAL
