Case Name,Year,Court,Citation,Issue,Holding,Remedy/Damages,Business Impact,Legal Basis,Source URL
Century 21 Canada v. Rogers (Zoocasa),2011,BC Supreme Court,2011 BCSC 1196,Real estate scraper copied photos/listings; enforceability of browse-wrap terms,Liable for copyright infringement and breach of contract; browse-wrap terms enforceable,"Permanent injunction; CAD $32,000 statutory damages plus nominal damages",Decision shut down data scraping; confirms website terms can restrict copying,Copyright Act; contract law (browse-wrap),https://www.canlii.org/en/bc/bcsc/doc/2011/2011bcsc1196/
Trader Corp. v. CarGurus,2017,Ontario Superior Court,2017 ONSC 1841,CarGurus scraped vehicle photos from dealer sites; fair dealing defense; framing constitutes infringement,Found liable for copyright infringement; fair dealing rejected; framing = making available,"CAD $305,604 statutory damages",Platforms must assess license chains; framing photos = copyright infringement,Copyright Act s. 27 (infringement); s. 38.1 (statutory damages),https://www.canlii.org/en/on/onsc/doc/2017/2017onsc1841/
A.T. v. Globe24h.com,2017,Federal Court,2017 FC 114,Website republished Canadian tribunal decisions to drive SEO/advertising; PIPEDA compliance,Breached PIPEDA; ordered removal of Canadian decisions and de-indexing,"CAD $5,000 damages plus costs; compliance order (de-indexing/erasure)",Republishing court decisions for profit without consent violates privacy law,Personal Information Protection and Electronic Documents Act (PIPEDA),https://www.canlii.org/en/ca/fct/doc/2017/2017fc114/
Thomson v. Afterlife Network,2019,Federal Court,2019 FC 545,Scraped obituaries for commercial republication without permission,Held liable for copyright infringement; fair dealing not available,CAD $20 million statutory and aggravated damages; permanent injunction,Commercial scraping of text without license restricted; must respect takedown requests,Copyright Act s. 38.1 (statutory damages),https://www.canlii.org/en/ca/fct/doc/2019/2019fc545/
Toronto Real Estate Board v. Mongohouse,2019,Federal Court,Order dated 2019-04-15,Mongohouse obtained/displayed TREB data via iHome in breach of licensing,Court granted order restraining unauthorized access to TREB data,Injunction/order,Third-party website taken offline; platforms must comply with licensing orders,Court order enforcing competition tribunal/licensing obligations,Various media reports
Google v. Equustek Solutions,2017,Supreme Court of Canada,2017 SCC 34,Equustek sought worldwide de-indexing injunction against Google,Upheld interlocutory injunction requiring global removal of search results,Injunction upheld (worldwide de-indexing),Courts can order global de-indexing when local remedies ineffective,Injunction law; equitable relief,https://scc-csc.lexum.com/scc-csc/scc-csc/en/item/16701/
Keatley Surveying v. Teranet,2019,Supreme Court of Canada,2019 SCC 43,Whether land survey plans in provincial registry subject to Crown copyright,Survey plans published under Crown direction/control are Crown works; copyright vests in province,Appeal dismissed,Materials filed in government registries may be owned by Crown; private surveyors cannot claim copyright,Copyright Act s. 12 (Crown copyright),https://scc-csc.lexum.com/scc-csc/scc-csc/en/item/17948/
Douez v. Facebook,2017,Supreme Court of Canada,2017 SCC 33,Challenge to forum-selection clause in Facebook terms; privacy claim under BC Privacy Act,Forum-selection clause unenforceable due to inequality of bargaining power and public policy,Action allowed in BC; forum clause not enforced,Consumer terms may be overridden when conflicting with privacy statutes/public policy,Forum selection law; BC Privacy Act; unconscionability,https://scc-csc.lexum.com/scc-csc/scc-csc/en/item/16700/
Dell Computer v. Union des consommateurs,2007,Supreme Court of Canada,2007 SCC 34,Challenge to mandatory arbitration clause and hyperlink notice in electronic contract,Arbitration clause valid under Civil Code but subject to consumer protection review,Decision clarified enforceability standards for online contracts,Established guidance on enforceability of online terms; emphasized adequate notice and fairness,Quebec Civil Code; arbitration; consumer protection,https://scc-csc.lexum.com/scc-csc/scc-csc/en/item/2390/
Uber v. Heller,2020,Supreme Court of Canada,2020 SCC 16,Unconscionability of arbitration clause in Uber's standard-form contract with drivers,Arbitration clause unconscionable and invalid; class action can proceed,Appeal dismissed; arbitration clause unenforceable,Sets high bar for arbitration clauses in platform contracts; mandates fairness and access to justice,Contracts; unconscionability; arbitration law,https://scc-csc.lexum.com/scc-csc/scc-csc/en/item/18406/
Canada Post v. Geolytica (Geocoder.ca),2012-2016,Federal Court,Fed. Ct. File T-519-12,Alleged crowdsourced postal-code database infringed Canada Post copyright,Case settled; Canada Post discontinued lawsuit,Action discontinued; no judgment or penalty,Win for open data; tension between government-owned databases and crowdsourced data,Copyright claims (settled),Various sources; settlement confirmed 2016
CanLII v. Caseway AI,2024,BC Supreme Court (pending),"Case filed Nov 4, 2024",CanLII alleges bulk scraping of legal decisions in breach of terms of use and copyright,Civil claim filed Nov 2024; litigation pending as of Nov 2025,Lawsuit seeks injunction and damages; outcome not yet determined,AI/LLM companies scraping legal data may face breach of contract and copyright claims,Breach of contract (terms of use); copyright; injunction,BC Supreme Court registry; media coverage
Canadian Publishers v. OpenAI,2024,Ontario Superior Court (pending),"Statement of Claim filed Nov 28, 2024",Publishers allege OpenAI trained models on news content without license; TPM circumvention claims,Litigation ongoing; no decision as of Nov 2025,Seeking injunctions and damages; no judgment yet,Significant AI-era dispute over training data; outcome will shape scraping/licensing practices,Copyright Act; TPM circumvention; breach of contract; unjust enrichment,Ontario Superior Court; Statement of Claim CV-24-00732231-00CL
